1.     Sei a conoscenza dell’esistenza dei Sustainable Developement Goals (obbiettivi di sviluppo sostenibile) delle Nazioni Unite?,"2.     Quanto ritieni importante la questione sostenibilità sociale, ambientale ed economica? Indicalo nella scala da 1 a 10 ",3.     Credi che la responsabilità di uno sviluppo sostenibile ricada più su:,4.     Indica quanto sei d’accordo con la seguente affermazione: “Realtà sostenibili ed incentrate sull’economia circolare sono essenziali per il raggiungimento di una realtà sostenibile”,5.     Vorresti essere più coinvolto nelle decisioni statali riguardanti normative sulla sostenibilità?,6.     [Se alla 5. hai risposto sì altrimenti passa alla prossima] Perché sì?,7. [Se alla 5. hai risposto no altrimenti passa alla prossima] Perché no?,8.     Pensi sia possibile essere in grado di gestire e sfruttare le risorse naturali entro il 2030 (riduzione dell'utilizzo delle risorse non sostenibili ed aumento di quelle sostenibili)?,9.     Indica quando sei d’accordo con la seguente affermazione: “penso che l’impegno delle multinazionali nell’adozione di pratiche sostenibili e nella sensibilizzazione in campo sostenibile sia essenziale”,10.     Pensi sia possibile ridurre in maniera sostanziale la produzione di rifiuti entro il 2030?,11.     Quanto è importante per te la riduzione dello spreco di alimenti nel raggiungimento di una società sostenibile?,12.     Indica quali dei seguenti obiettivi sono importanti nella battaglia al cambiamento climatico (risposta multipla),13.     Indica quanto sei d’accordo con la seguente affermazione: “è importante valorizzare e sostenere le piccole imprese di produzione alimentare (agricola e non)”,"14.     Quanto è importante per te l’implementazione di tecniche agricole che incrementino: la produzione per ettaro, la resilienza dell’ecosistema a disastri ecologici e la qualità dei terreni?",15.     Quando vai al supermercato quanto spesso pensi alla sostenibilità dei prodotti che acquisti?,16.     Che categoria di prodotti sostenibili acquisti normalmente? (risposta multipla),17.     Qual è il motivo per cui acquisti prodotti sostenibili?,18.     In una scala da 1 a 10 indica quanto è importante l’ecosostenibilità dei prodotti acquistati,19.     In una scala da uno a 10 indica quanto è importante l’estetica dei prodotti venduti,20.     Sei soddisfatt* dai prodotti sostenibili presenti al supermercato?," 
21.    [In caso di risposta negativa altrimenti passa alla prossima] qual è la ragione per cui non sei soddisfatt*?",22.     Che settore secondo te ha una varietà di prodotti troppo bassa?,23.     Che prodotti vorresti venissero aggiunti? ,"24.     Indica quanto sei d’accordo con la seguente affermazione “La trasparenza riguardo ai prodotti sostenibili è essenziale (provenienza, produttore, sostenibilità)”",25.     Indica quanto sei d’accordo con la seguente affermazione “I negozi sostenibili sono trasparenti riguardo alla sostenibilità e all’impatto ambientale dei loro prodotti”,26.     Che informazioni ritieni debbano essere date in aggiunta a quelle già fornite?,27.     Quale delle seguenti caratteristiche del negozio ritieni tra le più importanti? (risposta multipla),28.     Quanto influisce la posizione del negozio nelle tue decisioni di acquisto?,29.     Vorresti avere più informazioni riguardo alle iniziative sostenibili e ai negozi sostenibili nella tua zona?,30.     Come vorresti ricevere queste informazioni?,31.     Pensi che valga la pena di acquistare prodotti alimentari sostenibili?,32.     [Se hai risposto sì alla 31.] Perché sì?,33.     [Se hai risposto no alla 31.] Perché no?,34.     Qual è il tuo genere?,35.     Quanti anni hai?,36.     Qual è la tua occupazione?
No,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,No,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Spesso,a. Verdure;b. Carne;,La sostenibilità ambientale,8,2,Sì,,Latte e derivati,Farinacei,Molto in disaccordo,D’accordo,Informazioni riguardo alla provenienza,Disponibilità di parcheggio vicino;Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,57-69,Impiegato
Sì,9,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Spesso,a. Verdure;b. Carne,La sostenibilità ambientale,8,6,Non molto,,Gastronomia,,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,6,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,31-43,Libero professionista
No,10,Stato,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,Molto d’accordo,No,8,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Spesso,a. Verdure;c. Latte e derivati;Frutta,Tutte le precedenti,8,5,Non molto,,Verdure,Frutta e verdura,Molto d’accordo,Molto d’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura,8,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Donna,57-69,Impiegato
Sì,10,Stato,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Spesso,a. Verdure,Tutte le precedenti,10,2,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,Maggiori opzioni vegetariane ad esclusione delle sole verdure ,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,18-30,Libero professionista
No,7,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,D’accordo,No,7,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,Molto d’accordo,Importante,Ogni tanto,b. Carne,Tutte le precedenti,8,1,No,Mancano dei prodotti che per me sono essenziali,Gastronomia,,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti,1,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,18-30,Libero professionista
Sì,10,Stato,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni,,Sì,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Indifferente,Spesso,a. Verdure;b. Carne;c. Latte e derivati;Caffè ,Tutte le precedenti,10,1,No,Poca varietà di prodotti offerti,Gastronomia,,Molto d’accordo,Indifferente,Informazioni riguardo alla provenienza,Raggiungibilità a piedi o con mezzi pubblici,3,Sì,Via mail (nella newsletter),Sì,Perché sono più naturali delle loro controparti non sostenibili,,Uomo,44-56,Preferisco non specificare
Sì,10,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Ogni tanto,a. Verdure,La sostenibilità sociale,10,1,Non molto,Poca varietà di prodotti offerti,Gastronomia,,Molto d’accordo,Molto d’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,3,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,31-43,Libero professionista
No,10,Cittadino,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,Sì,10,Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Sempre,a. Verdure;b. Carne;Frutta olio formaggi pasta fresca ,Tutte le precedenti,10,7,Non molto,Il prezzo elevato dei prodotti offerti,Verdure,Pasta fresca olio frutta farine ,D’accordo,In disaccordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,5,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Donna,31-43,Libero professionista
Sì,8,Aziende,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Sì,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Ogni tanto,a. Verdure;b. Carne;c. Latte e derivati,La qualità dei prodotti venduti,8,6,Non molto,Il prezzo elevato dei prodotti offerti,Latte e derivati,,D’accordo,D’accordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino,5,Sì,Via mail (nella newsletter),Sì,Perché sono più naturali delle loro controparti non sostenibili,,Uomo,18-30,Libero professionista
No,10,Cittadino,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,No,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Ogni tanto,a. Verdure;b. Carne,Tutte le precedenti,10,1,Non molto,,Verdure,Alimenti per intolleranze ,Molto d’accordo,D’accordo,Informazioni riguardo alla provenienza,Disposizione dei prodotti,1,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Impiegato
No,8,Cittadino,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,D’accordo,Sì,8,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,D’accordo,Importante,Ogni tanto,a. Verdure,La sostenibilità ambientale,8,7,Non molto,Il prezzo elevato dei prodotti offerti,Latte e derivati,,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Tramite i social network,Sì,Tutte le precedenti,,Uomo,18-30,Impiegato
No,8,Cittadino,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,Sì,D’accordo,Sì,8,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Sensibilizzazione del cittadino,D’accordo,Importante,Spesso,a. Verdure,La sostenibilità ambientale,8,1,Non molto,Il prezzo elevato dei prodotti offerti,Latte e derivati,Latte e derivati ,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,1,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Impiegato
No,10,Cittadino,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,D’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Sempre,a. Verdure;c. Latte e derivati,Tutte le precedenti,9,6,Sì,,,,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,9,Sì,,Sì,Perché hanno un basso impatto ambientale,,Donna,31-43,Impiegato
Sì,10,Stato,Indifferente,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,D’accordo,Sì,7,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Indifferente,Spesso,,La sostenibilità ambientale,7,1,Non molto,,,,D’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,7,No,,Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Studente
Sì,10,Stato,Indifferente,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,D’accordo,Sì,7,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Indifferente,Spesso,,La sostenibilità ambientale,7,1,Non molto,,,,D’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,7,No,,Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Studente
No,8,Aziende,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,D’accordo,Sì,8,Incremento della resilienza dei paesi rispetto ai disastri ambientali,D’accordo,Importante,Ogni tanto,a. Verdure;,La sostenibilità ambientale,6,5,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,Di tutto e di più,D’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Orari di apertura,8,Sì,Tramite i social network,No,,Perché le qualità non giustificano un incremento del prezzo così grande,Donna,57-69,Preferisco non specificare
No,10,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,D’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Importante,Ogni tanto,b. Carne,Tutte le precedenti,9,1,Sì,,Gastronomia,,D’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disponibilità di parcheggio vicino;Raggiungibilità a piedi o con mezzi pubblici,10,Sì,Via mail (nella newsletter),Sì,Perché sono più naturali delle loro controparti non sostenibili,,Donna,31-43,Impiegato
No,9,Aziende,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,No,9,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Molto importante,Ogni tanto,a. Verdure;c. Latte e derivati,Tutte le precedenti,7,5,No,Il prezzo elevato dei prodotti offerti,Gastronomia,Carne sintetica,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Disposizione dei prodotti;Raggiungibilità a piedi o con mezzi pubblici,10,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Uomo,18-30,Impiegato
No,10,Cittadino,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste,,No,Molto d’accordo,No,7,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Ogni tanto,"a. Verdure;b. Carne;c. Latte e derivati;Shampoo e creme (Davines e ComfortZone, certificate B Corp)",Tutte le precedenti,9,1,No,Poca varietà di prodotti offerti,Gastronomia,,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Disposizione dei prodotti,1,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,18-30,Studente
No,10,Stato,D’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,Sì,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Importante,Sempre,a. Verdure;c. Latte e derivati,Tutte le precedenti,10,4,No,Il prezzo elevato dei prodotti offerti,Verdure,"Legumi sfusi, verdure in maggior varietà ",Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,18-30,Libero professionista
Sì,8,Aziende,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,Sì,7,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,D’accordo,Importante,Spesso,b. Carne;c. Latte e derivati,La qualità dei prodotti venduti,7,6,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,Salumi,Molto d’accordo,Indifferente,Informazioni riguardo al produttore,Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,31-43,Libero professionista
Sì,10,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,No,Molto d’accordo,Sì,8,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Molto importante,Sempre,a. Verdure;c. Latte e derivati,Tutte le precedenti,8,3,No,Il prezzo elevato dei prodotti offerti,Verdure,prodotti locali e di stagione ,Molto d’accordo,In disaccordo,Informazioni riguardo al produttore,Orari di apertura;Disposizione dei prodotti,7,Sì,Tramite volantini,Sì,Perché hanno un basso impatto ambientale,,Uomo,18-30,Impiegato
No,9,Cittadino,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,No,9,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Spesso,a. Verdure,Tutte le precedenti,9,5,Non molto,Poca varietà di prodotti offerti,Gastronomia,Alimenti loco-regionali,Molto d’accordo,Molto d’accordo,Informazioni riguardo al produttore,Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,31-43,Libero professionista
Sì,9,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,No,Molto d’accordo,No,9,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,Molto d’accordo,Importante,Ogni tanto,a. Verdure,Tutte le precedenti,7,5,Non molto,,Verdure,,Molto d’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,31-43,Libero professionista
No,10,Stato,D’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,Sì,9,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Importante,Ogni tanto,a. Verdure;c. Latte e derivati,Tutte le precedenti,8,7,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Disposizione dei prodotti,7,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Impiegato
Sì,10,Stato,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Sì,Molto d’accordo,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Molto importante,Spesso,a. Verdure,La sostenibilità ambientale,9,6,Non molto,Poca varietà di prodotti offerti,Verdure,"Legumi, tofu e prodotti vegan, pesce surgelato, prodotti per l'igiene e la cura di sé",D’accordo,D’accordo,Informazioni riguardo al produttore,Orari di apertura;Disposizione dei prodotti,5,No,,Sì,Tutte le precedenti,,Uomo,44-56,Impiegato
No,8,Stato,D’accordo,Sì,Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,Non so,D’accordo,No,8,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Importante,Spesso,a. Verdure;c. Latte e derivati,Tutte le precedenti,8,6,Non molto,Il prezzo elevato dei prodotti offerti,Gastronomia,,D’accordo,D’accordo,Informazioni riguardo al produttore,Raggiungibilità a piedi o con mezzi pubblici,9,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Donna,31-43,Libero professionista
No,9,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,No,8,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali,D’accordo,Importante,Ogni tanto,a. Verdure,La sostenibilità sociale,7,8,No,Poca varietà di prodotti offerti,Latte e derivati,,D’accordo,Indifferente,Informazioni riguardo alla sostenibilità,Orari di apertura;Dimensione del negozio,6,No,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Libero professionista
Sì,10,Stato,Molto d’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,Molto d’accordo,Sì,10,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Molto importante,Spesso,a. Verdure;b. Carne;c. Latte e derivati,Tutte le precedenti,8,7,Non molto,Il prezzo elevato dei prodotti offerti,Latte e derivati,Latte e derivati,Molto d’accordo,D’accordo,Informazioni riguardo al produttore,Disponibilità di parcheggio vicino;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Tramite i social network,Sì,Perché hanno un basso impatto ambientale,,Donna,18-30,Impiegato
Sì,9,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Non so,D’accordo,No,9,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino,D’accordo,Importante,Ogni tanto,a. Verdure;b. Carne,La qualità dei prodotti venduti,8,7,No,Il prezzo elevato dei prodotti offerti,Gastronomia,,D’accordo,D’accordo,Informazioni riguardo al produttore,Raggiungibilità a piedi o con mezzi pubblici,7,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,18-30,Studente
No,10,Cittadino,Molto d’accordo,Sì,Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,Credo che prima di aumentare il coinvolgimento si debba attuare una campagna di informazione per istruire i cittadini,Non so,Molto d’accordo,No,10,Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Molto d’accordo,Importante,Spesso,a. Verdure;b. Carne;,La sostenibilità ambientale,10,2,Non molto,Il prezzo elevato dei prodotti offerti,,Indumenti,Molto d’accordo,D’accordo,Informazioni riguardo alla sostenibilità,Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,5,Sì,Via mail (nella newsletter),Sì,Tutte le precedenti,,Uomo,18-30,Libero professionista
No,8,Stato,D’accordo,Sì,Credo che coinvolgimento significhi anche sensibilizzazione,,Sì,Molto d’accordo,No,7,Sensibilizzazione del cittadino,Molto d’accordo,Importante,Ogni tanto,a. Verdure;b. Carne,La qualità dei prodotti venduti,5,7,Sì,,Verdure,,Molto d’accordo,In disaccordo,Informazioni riguardo alla provenienza,Dimensione del negozio;Disposizione dei prodotti,8,Sì,Tramite i social network,Sì,Perché sono di una qualità più alta,,Donna,18-30,Impiegato
Sì,10,Stato,Molto d’accordo,Sì,Credo che il coinvolgimento del cittadino sia essenziale per l’implementazione di normative più giuste;Credo che normative provenienti dall’alto siano scollegate dalla realtà di tutti i giorni;Credo che coinvolgimento significhi anche sensibilizzazione;Credo che sia un diritto/dovere di tutti partecipare al discorso sostenibilità,,No,Indifferente,No,10,Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,D’accordo,Molto importante,Spesso,Prodotti di cura del corpo,Tutte le precedenti,10,2,No,Poca varietà di prodotti offerti,Verdure,"Tutti i prodotti ad uso quotidiano (cura della casa, del corpo ecc.) ",D’accordo,D’accordo,Informazioni riguardo al produttore,Disposizione dei prodotti,6,Sì,Tramite i social network,Sì,Tutte le precedenti,,Donna,18-30,Preferisco non specificare
Sì,9,Stato,D’accordo,No,,Credo che per queste decisioni sia necessario un livello di conoscenze che il cittadino non ha;Credo che prima di aumentare il coinvolgimento si debba attuare una campagna di informazione per istruire i cittadini,No,D’accordo,No,8,Incremento della resilienza dei paesi rispetto ai disastri ambientali;Integrazione di misure legate al combattimento del cambiamento climatico nelle politiche nazionali;Sensibilizzazione del cittadino;Finanziamento annuale di 100 miliardi da parte di paesi sviluppati e indirizzato ai paesi in via di sviluppo per assisterli nella battaglia al cambiamento climatico,Indifferente,Molto importante,Ogni tanto,a. Verdure;b. Carne,La qualità dei prodotti venduti,8,7,Sì,,Gastronomia,,D’accordo,Indifferente,Informazioni riguardo al produttore,Orari di apertura;Raggiungibilità a piedi o con mezzi pubblici,8,Sì,Via mail (nella newsletter),Sì,Perché hanno un basso impatto ambientale,,Uomo,18-30,Studente
